127.0.0.1 - - [16/Oct/2019:01:57:01 -0700] "GET / HTTP/1.1" 200 11415
0:0:0:0:0:0:0:1 - - [16/Oct/2019:01:57:57 -0700] "GET /Laundry HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2019:01:57:57 -0700] "GET /Laundry/ HTTP/1.1" 200 4968
0:0:0:0:0:0:0:1 - - [16/Oct/2019:01:57:57 -0700] "GET /Laundry/styles/laundry.css HTTP/1.1" 200 2930
0:0:0:0:0:0:0:1 - - [16/Oct/2019:01:57:57 -0700] "GET /Laundry/scripts/laundry.js HTTP/1.1" 200 6579
0:0:0:0:0:0:0:1 - - [16/Oct/2019:01:58:03 -0700] "GET /Laundry/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2019:01:58:03 -0700] "GET /Laundry/index.html HTTP/1.1" 200 4968
0:0:0:0:0:0:0:1 - - [16/Oct/2019:01:58:04 -0700] "GET /Laundry/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2019:01:58:04 -0700] "GET /Laundry/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2019:01:58:05 -0700] "GET /Laundry/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2019:01:58:05 -0700] "GET /Laundry/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2019:01:58:06 -0700] "GET /Laundry/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2019:01:58:06 -0700] "GET /Laundry/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2019:01:58:06 -0700] "GET /Laundry/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2019:01:58:07 -0700] "GET /Laundry/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2019:01:58:11 -0700] "GET /Laundry/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2019:01:58:33 -0700] "GET /Laundry/allMachineStatus HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [16/Oct/2019:01:58:40 -0700] "GET /Laundry/allMachineStatus HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [16/Oct/2019:01:58:42 -0700] "GET /Laundry/logout HTTP/1.1" 302 -
