127.0.0.1 - - [04/Aug/2019:15:43:45 -0700] "GET / HTTP/1.1" 200 11204
0:0:0:0:0:0:0:1 - - [04/Aug/2019:15:44:18 -0700] "GET /Jupiter/login HTTP/1.1" 403 28
0:0:0:0:0:0:0:1 - - [04/Aug/2019:15:52:06 -0700] "POST /Jupiter/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Aug/2019:15:52:47 -0700] "POST /Jupiter/login HTTP/1.1" 401 31
0:0:0:0:0:0:0:1 - - [04/Aug/2019:15:54:19 -0700] "POST /Jupiter/login HTTP/1.1" 401 31
0:0:0:0:0:0:0:1 - - [04/Aug/2019:16:06:32 -0700] "POST /Jupiter/login HTTP/1.1" 401 31
0:0:0:0:0:0:0:1 - - [04/Aug/2019:16:19:27 -0700] "POST /Jupiter/login HTTP/1.1" 401 31
0:0:0:0:0:0:0:1 - - [04/Aug/2019:16:23:40 -0700] "POST /Jupiter/login HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [04/Aug/2019:17:29:59 -0700] "GET /Jupiter/login HTTP/1.1" 403 28
0:0:0:0:0:0:0:1 - - [04/Aug/2019:17:30:17 -0700] "GET /Jupiter/login HTTP/1.1" 403 28
0:0:0:0:0:0:0:1 - - [04/Aug/2019:17:30:18 -0700] "GET /Jupiter/login HTTP/1.1" 403 28
0:0:0:0:0:0:0:1 - - [04/Aug/2019:17:30:53 -0700] "GET /Jupiter/login?user_id=1111 HTTP/1.1" 403 28
0:0:0:0:0:0:0:1 - - [04/Aug/2019:17:30:56 -0700] "GET /Jupiter/login?user_id=1111 HTTP/1.1" 403 28
0:0:0:0:0:0:0:1 - - [04/Aug/2019:17:30:58 -0700] "GET /Jupiter/login?user_id=1111 HTTP/1.1" 403 28
0:0:0:0:0:0:0:1 - - [04/Aug/2019:17:31:02 -0700] "POST /Jupiter/login?user_id=1111 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [04/Aug/2019:17:31:32 -0700] "GET /Jupiter/login?user_id=1111 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [04/Aug/2019:17:31:33 -0700] "GET /Jupiter/login?user_id=1111 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [04/Aug/2019:17:31:34 -0700] "GET /Jupiter/login?user_id=1111 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [04/Aug/2019:17:31:50 -0700] "GET /Jupiter/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Aug/2019:17:31:50 -0700] "GET /Jupiter/index.html HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [04/Aug/2019:17:32:55 -0700] "GET /Jupiter/login HTTP/1.1" 403 28
