127.0.0.1 - - [12/Oct/2019:21:40:32 -0700] "GET / HTTP/1.1" 200 11204
0:0:0:0:0:0:0:1 - - [12/Oct/2019:21:40:42 -0700] "GET / HTTP/1.1" 200 11204
0:0:0:0:0:0:0:1 - - [12/Oct/2019:21:40:42 -0700] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [12/Oct/2019:21:40:43 -0700] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [12/Oct/2019:21:40:43 -0700] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [12/Oct/2019:21:40:43 -0700] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
0:0:0:0:0:0:0:1 - - [12/Oct/2019:21:40:43 -0700] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [12/Oct/2019:21:40:43 -0700] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [12/Oct/2019:21:40:49 -0700] "GET /jupiter HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [12/Oct/2019:21:41:11 -0700] "GET /Jupiter HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Oct/2019:21:41:11 -0700] "GET /Jupiter/ HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [12/Oct/2019:21:41:11 -0700] "GET /Jupiter/styles/main.css HTTP/1.1" 200 4523
0:0:0:0:0:0:0:1 - - [12/Oct/2019:21:41:11 -0700] "GET /Jupiter/scripts/main.js HTTP/1.1" 200 16875
0:0:0:0:0:0:0:1 - - [12/Oct/2019:21:41:11 -0700] "GET /Jupiter/login HTTP/1.1" 403 28
